videoid,titulo,data,dia_semana,intervalo,duracao,views,curtidas,nao_curtidas,comentarios,conteudo,foco,tipo,grupo
57,A Chegada (Arrival) | CRÍTICA sem spoilers,25/11/2016,Sexta-Feira,10,08:11,16291,2388,5,179,Review,Ficção Científica,Filme,Sony
58,THE FLASH | Quem é SAVITAR?,01/12/2016,Quinta-Feira,13,05:53,478447,28156,506,1233,Origem,Flash,Série,DC Comics
59,GUARDIÕES DA GALÁXIA 2 TRAILER 2 | Análise,06/12/2016,Terça-Feira,11,08:27,68536,6197,26,220,Preview,Guardiões da Galáxia,Filme,Marvel
60,Sobre os Trailers de Transformers e Homem Aranha,07/12/2016,Quarta-Feira,6,01:05,14777,1163,9,87,Aviso,Transformers/Homem Aranha,Filme,Outros
61,TRANSFORMERS 5 - O Último Cavaleiro TRAILER | ANÁLISE,08/12/2016,Quinta-Feira,2,10:18,258133,16797,142,1448,Preview,Transformers ,Filme,Paramount
62,HOMEM-ARANHA 2017 | Trailer Comentado,11/12/2016,Domingo,4,08:07,76305,7569,34,391,Preview,Homem-Aranha,Filme,Marvel
63,ROGUE ONE | SEM SPOILERS,16/12/2016,Sexta-Feira,8,08:57,26481,3868,21,302,Review,Rogue One,Filme,Star Wars
64,HOMEM-ARANHA | CORAÇÃO DE FERRO pode aparecer em HOMECOMING?,21/12/2016,Quarta-Feira,10,05:18,100686,11764,76,580,Teoria,Homem-Aranha,Filme,Marvel
65,BLADE RUNNER 2049 TRAILER | ANÁLISE,23/12/2016,Sexta-Feira,7,06:08,17754,2359,8,111,Preview,Blade Runner,filme,Sony
66,OPERAÇÃO BIG HERO Foi Inspirada nos Quadrinhos,27/12/2016,Terça-Feira,6,09:18,52091,6096,24,188,Origem,Operação Big Hero,Animação,Marvel
67,TRANSFORMERS 2017 | MEGATRON é o Último Cavaleiro?,31/12/2016,Sábado,8,07:20,469647,30737,430,3316,Teoria,Transformers,Filme,Paramount
